%time,field.data
1603470053114561705,2454.54541016
1603470053127729394,2522.72729492
1603470053140730658,2522.72729492
1603470053153805699,2454.54541016
1603470053166704093,2522.72729492
1603470053179503933,2590.90917969
1603470053192580215,2659.09082031
1603470053206213492,2659.09082031
1603470053218752945,2522.72729492
1603470053231839912,2727.27270508
1603470053244708251,2659.09082031
1603470053257516739,2727.27270508
1603470053270737353,2795.45458984
1603470053283579582,2795.45458984
1603470053296905842,2863.63647461
1603470053309597461,2795.45458984
1603470053322638577,2931.81811523
1603470053335629193,2931.81811523
1603470053348823695,2931.81811523
1603470053361526370,2863.63647461
1603470053374780687,3000.0
1603470053391161159,2931.81811523
1603470053400769826,3068.18188477
1603470053413676961,2931.81811523
1603470053426870575,3000.0
1603470053439516491,3000.0
1603470053452519255,3068.18188477
1603470053465518982,3136.36352539
1603470053478691170,3068.18188477
1603470053491595287,3068.18188477
1603470053504887363,3068.18188477
1603470053517791257,3000.0
1603470053530516579,3000.0
1603470053543903469,3136.36352539
1603470053556516885,3000.0
1603470053569560519,3068.18188477
1603470053582706541,3068.18188477
1603470053595599362,3068.18188477
1603470053608532459,3068.18188477
1603470053621769240,3000.0
1603470053634667634,3000.0
1603470053647748657,3000.0
1603470053661033400,3068.18188477
1603470053674061941,2931.81811523
1603470053686732504,3000.0
1603470053699704435,3000.0
1603470053712792754,3000.0
1603470053725696389,3068.18188477
1603470053738964910,3068.18188477
1603470053751483290,2931.81811523
1603470053764694311,3136.36352539
1603470053777816315,3068.18188477
1603470053790865893,3000.0
1603470053803803917,3000.0
1603470053816560757,3000.0
1603470053829597299,3000.0
1603470053842528026,3136.36352539
1603470053855670307,3136.36352539
1603470053869110123,3068.18188477
1603470053882445050,2863.63647461
1603470053895612331,3136.36352539
1603470053908547744,3068.18188477
1603470053921644044,3068.18188477
1603470053934517661,3000.0
1603470053947546054,3136.36352539
1603470053961119776,3068.18188477
1603470053973936541,2931.81811523
1603470053986756400,3000.0
1603470054000308862,3000.0
1603470054013676752,3068.18188477
1603470054026660609,3068.18188477
1603470054039635910,3068.18188477
1603470054052576712,3068.18188477
1603470054065536698,3068.18188477
1603470054078496481,3068.18188477
1603470054091497226,3068.18188477
1603470054105090448,3068.18188477
1603470054117588679,2931.81811523
1603470054130923459,3068.18188477
1603470054143950148,3000.0
1603470054156799043,3000.0
1603470054169657290,3000.0
1603470054182541203,3068.18188477
1603470054195898019,3136.36352539
1603470054208595897,3000.0
1603470054221828381,3068.18188477
1603470054246577791,3000.0
1603470054248155035,3000.0
1603470054261058115,2863.63647461
1603470054273642216,2863.63647461
1603470054286694498,3068.18188477
1603470054299508931,3068.18188477
1603470054312580305,3068.18188477
1603470054325606865,3068.18188477
1603470054338867978,3068.18188477
1603470054351469024,2931.81811523
1603470054364677008,3136.36352539
1603470054377948455,3068.18188477
1603470054390735184,3000.0
1603470054403608060,3000.0
1603470054416620120,3068.18188477
1603470054429620754,3068.18188477
1603470054442708888,3068.18188477
1603470054455583468,3000.0
1603470054468690286,3068.18188477
1603470054481600014,3000.0
1603470054494655629,3068.18188477
1603470054507502876,3068.18188477
1603470054528333509,3068.18188477
1603470054533643977,3068.18188477
1603470054546485242,3068.18188477
1603470054559646282,3136.36352539
1603470054572807045,3000.0
1603470054585586903,3000.0
1603470054598671018,3068.18188477
1603470054611839392,3068.18188477
1603470054624644620,3000.0
1603470054637584052,3068.18188477
1603470054651040441,3068.18188477
1603470054663855225,3000.0
1603470054676798934,3000.0
1603470054689719810,3000.0
1603470054702829962,3068.18188477
1603470054715534895,3000.0
1603470054728657028,3068.18188477
1603470054741594311,3068.18188477
1603470054754686185,3068.18188477
1603470054767681672,3068.18188477
1603470054780965062,3068.18188477
1603470054793982271,3000.0
1603470054806674001,3000.0
1603470054819652265,3000.0
1603470054832664103,3068.18188477
1603470054845673959,3000.0
1603470054858663242,3000.0
1603470054871648469,3068.18188477
1603470054884732787,3136.36352539
1603470054897986456,3068.18188477
1603470054910639446,2931.81811523
1603470054923592025,3068.18188477
1603470054937324615,3068.18188477
1603470054951100446,3068.18188477
1603470054963617770,3000.0
1603470054977166510,3068.18188477
1603470054989861573,2863.63647461
1603470055003270315,2795.45458984
1603470055016599427,3068.18188477
1603470055029640024,3068.18188477
1603470055042776138,3068.18188477
1603470055055658718,3068.18188477
1603470055068504521,3068.18188477
1603470055081842707,3068.18188477
1603470055094878045,3000.0
1603470055107657329,3000.0
1603470055120803425,3068.18188477
1603470055136446441,3000.0
1603470055147297430,3068.18188477
1603470055159636144,2863.63647461
1603470055172721482,3000.0
1603470055186111982,3068.18188477
1603470055198590881,2931.81811523
1603470055211744717,3068.18188477
1603470055224588390,3000.0
1603470055237562173,3068.18188477
1603470055251156764,3068.18188477
1603470055263918956,2931.81811523
1603470055276562779,3000.0
1603470055289550969,3068.18188477
1603470055302642251,3068.18188477
1603470055315864901,3068.18188477
1603470055328633760,3000.0
1603470055341871040,3068.18188477
1603470055355237264,3000.0
1603470055367482442,2863.63647461
1603470055380626112,3068.18188477
1603470055393677005,3068.18188477
1603470055406495271,3068.18188477
1603470055419453109,3136.36352539
1603470055432601557,3068.18188477
1603470055445548691,3068.18188477
1603470055458526067,3068.18188477
1603470055471562997,3068.18188477
1603470055485443234,3068.18188477
1603470055497725301,3136.36352539
1603470055510730768,3000.0
1603470055523727366,3000.0
1603470055536557187,3068.18188477
1603470055549553858,3136.36352539
1603470055562909933,3068.18188477
1603470055575703384,3000.0
1603470055588551076,3000.0
1603470055601960854,3000.0
1603470055614840304,3000.0
1603470055627632626,3068.18188477
1603470055640559594,3068.18188477
1603470055654441368,3136.36352539
1603470055667779944,3136.36352539
1603470055680564969,3000.0
1603470055693854434,3068.18188477
1603470055714795880,2931.81811523
1603470055719648574,3136.36352539
1603470055733054168,3068.18188477
1603470055745892100,2931.81811523
1603470055758780865,3068.18188477
1603470055771954294,3000.0
1603470055784833855,3000.0
1603470055797787008,3000.0
1603470055810846309,2931.81811523
1603470055823577964,2863.63647461
1603470055836914539,2931.81811523
1603470055849919266,2795.45458984
1603470055863299693,2727.27270508
1603470055876841544,2727.27270508
1603470055889701661,2522.72729492
1603470055902667166,2522.72729492
1603470055915483247,2454.54541016
1603470055928611287,2386.36352539
